store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,weight,msrp,status,is_recurring,visibility,tax_class_id,allowed_to_quotemode,quotemode_conditions,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Default,simple,"7,8,33,34,35,36,37,38",Patterned Black fabric upholstery,0,High Back Tilter Chair with Arms OTG11890,,,/o/t/otg11890b.png,/o/t/otg11890b.png,/o/t/otg11890b.png,high-back-tilter-chair-with-arms-otg11890,high-back-tilter-chair-with-arms-otg11890.html,,2 columns with right bar,Product Info Column,,,, ,Use config,Use config,No,0,,0,,Disabled,No,"Catalog, Search",None,1,Always show Add to Quote Button,Patterned Black fabric upholstery Black powder coated tubular arms with fabric armrests Pneumatic seat height adjustment Single position tilt lock with tilt tension adjustment Scuff resistant arched molded base with twin wheel carpet casters Soft casters (OTG10700) are available 23w x 26.5d x 34h,Patterned Black fabric upholstery,,,,,,,,,15,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,High Back Tilter Chair with Arms OTG11890,0,simple,,
admin,base,Default,simple,"8,33,34",Black mesh back and breathable mesh fabric seat,0,Mesh Back Managers Chair OTG11960B,,,/o/t/otg11960b.png,/o/t/otg11960b.png,/o/t/otg11960b.png,mesh-back-managers-chair-otg11960b,mesh-back-managers-chair-otg11960b.html,,2 columns with right bar,Product Info Column,,,, ,Use config,Use config,No,0,,0,,Disabled,No,"Catalog, Search",None,1,Always show Add to Quote Button,Pneumatic seat height adjustment Single position tilt lock with tilt tension adjustment Titanium accented dual back uprights Height adjustable arms with titanium accents Scuff resistant high rise molded base with twin wheel carpet casters Soft casters (OTG10700) are available 24w x 22.5d x 39h,Black mesh back and breathable mesh fabric seat,,,,,,,,,15,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Mesh Back Managers Chair OTG11960B,0,simple,,
admin,base,Default,simple,"4,5,7,8,12,13,14,15,18,19,33,34,35,37,38,39,40,41",Black Luxhide upholstery with mock leather trim,0,Luxhide Executive Chair OTG2700,,,/o/t/otg2700.png,/o/t/otg2700.png,/o/t/otg2700.png,luxhide-executive-chair-otg2700,luxhide-executive-chair-otg2700.html,,2 columns with right bar,Product Info Column,,,, ,Use config,Use config,No,0,,0,,Disabled,No,"Catalog, Search",None,1,Always show Add to Quote Button,"Black Luxhide upholstery with mock leather trim Pneumatic seat height adjustment Comfortable polyurethane ""reverse curve"" arms Single position tilt lock with tilt tension adjustment Scuff resistant arched molded base with twin wheel carpet casters Soft casters (OTG10700) are available 27w x 28d x 42h Seat Height: 16 - 20"" Seat Width: 21"" Seat Depth: 18"" Back Width: 21"" Back Height: 25"" Arm Height: 8""",Black Luxhide upholstery with mock leather trim,,,,,,,,,15,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Luxhide Executive Chair OTG2700,0,simple,,
admin,base,Default,simple,15,Paoli Guest Chairs,0,Paoli Guest Chairs,,,/p/a/paoli-guest.jpg,/p/a/paoli-guest.jpg,/p/a/paoli-guest.jpg,paoli-guest-chairs,paoli-guest-chairs.html,,2 columns with right bar,Product Info Column,,,, ,Use config,Use config,No,0,,0,,Disabled,No,"Catalog, Search",None,1,Always show Add to Quote Button,Paoli Guest Chairs,Paoli Guest Chairs,,,,,,,,,15,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Paoli Guest Chairs,0,simple,,
admin,base,Default,simple,"4,5,7,8,9,12,13,14,15,18,19,33,34,35,36,37,38,39,40,41",Luxhide Executive Chair OTG2700,0,Luxhide Executive Chair OTG2700,,,/o/t/otg2700_1.png,/o/t/otg2700_1.png,/o/t/otg2700_1.png,luxhide-executive-chair-otg2700,luxhide-executive-chair-otg2700-803.html,,2 columns with right bar,Product Info Column,,,, ,Use config,Use config,No,0,,0,,Disabled,No,"Catalog, Search",None,1,Always show Add to Quote Button,"Black Luxhide upholstery with mock leather trim Pneumatic seat height adjustment Comfortable polyurethane ""reverse curve"" arms Single position tilt lock with tilt tension adjustment Scuff resistant arched molded base with twin wheel carpet casters Soft casters (OTG10700) are available 27w x 28d x 42h Seat Height: 16 - 20"" Seat Width: 21"" Seat Depth: 18"" Back Width: 21"" Back Height: 25"" Arm Height: 8""",Black Luxhide upholstery with mock leather trim,,,,,,,,,15,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Luxhide Executive Chair OTG2700,0,simple,,
admin,base,Default,simple,"4,5,7,8,9,12,13,14,15,18,19,33,34,36,37,38,39,40,41",Mesh Back Managers Chair OTG11960B,0,Mesh Back Managers Chair OTG11960B,,,/o/t/otg11960b_1.png,/o/t/otg11960b_1.png,/o/t/otg11960b_1.png,mesh-back-managers-chair-otg11960b,mesh-back-managers-chair-otg11960b-792.html,,2 columns with right bar,Product Info Column,,,, ,Use config,Use config,No,0,,0,,Disabled,No,"Catalog, Search",None,1,Always show Add to Quote Button,Pneumatic seat height adjustment Single position tilt lock with tilt tension adjustment Titanium accented dual back uprights Height adjustable arms with titanium accents Scuff resistant high rise molded base with twin wheel carpet casters Soft casters (OTG10700) are available 24w x 22.5d x 39h,Black mesh back and breathable mesh fabric seat,,,,,,,,,15,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Mesh Back Managers Chair OTG11960B,0,simple,,
admin,base,Default,simple,,High Back Tilter Chair with Arms OTG11890,0,High Back Tilter Chair with Arms OTG11890,,,/o/t/otg11890b_1.png,/o/t/otg11890b_1.png,/o/t/otg11890b_1.png,high-back-tilter-chair-with-arms-otg11890,high-back-tilter-chair-with-arms-otg11890-587.html,,2 columns with right bar,Product Info Column,,,, ,Use config,Use config,No,0,,0,,Disabled,No,"Catalog, Search",None,1,Always show Add to Quote Button,Patterned Black fabric upholstery Black powder coated tubular arms with fabric armrests Pneumatic seat height adjustment Single position tilt lock with tilt tension adjustment Scuff resistant arched molded base with twin wheel carpet casters Soft casters (OTG10700) are available 23w x 26.5d x 34h,Patterned Black fabric upholstery,,,,,,,,,15,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,High Back Tilter Chair with Arms OTG11890,0,simple,,
admin,base,Default,simple,"4,16",USED-D2SD,0,Desk 2 Sets of Drawers-,Desk 2 Sets of Drawers-USED,,/0/0/009_1_1.jpg,/0/0/009_1_1.jpg,/0/0/009_1_1.jpg,desk-2-sets-of-drawers,desk-2-sets-of-drawers.html,,No layout updates,Product Info Column,0,0,0, ,Use config,Use config,No,0,,100,,Disabled,No,"Catalog, Search",None,1,Always show Add to Quote Button,6' X 3' w/ 2 Sets of Drawers ,USED GOOD CONDITION,,,,,,,,,111,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Desk 2 Sets of Drawers-,0,simple,,
admin,base,Default,simple,,FRSTOFFESPR,0,FIRST OFFICE WOOD VENEER  $499,FIRST OFFICE WOOD VENEER  $499,,,,,first-office-wood-veneer-499,first-office-wood-veneer-499.html,,No layout updates,Product Info Column,,,, ,Use config,Use config,No,499,,100,,Disabled,No,"Catalog, Search",None,1,Always show Add to Quote Button,"ESPRESSO COLOR ,5 DRAWER, DOUBLE PEDESTAL

<p><a href=""mailto:intspc@obcoffice.com?subject=First%20 Office%20 Wood%20 Veneer%20 +%20Espresso%20""> intspc@obcoffice.com</a></p>","ESPRESSO COLOR ,5 DRAWER, DOUBLE PEDESTAL",,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2014-09-23 02:24:33,,1,0,1,1,1,0,1,0,0,1,1,FIRST OFFICE WOOD VENEER  $499,0,simple,,
admin,base,Default,simple,42,AMC,0,AIS MWall Cubicle,AIS MWall Cubicle,,/m/w/mwall1.jpg,/m/w/mwall1.jpg,/m/w/mwall1.jpg,ais-mwall-cubicle,ais-mwall-cubicle.html,,No layout updates,Product Info Column,defa,defa,defa, ,Use config,Use config,No,0,,200,,Enabled,No,"Catalog, Search",None,1,Always show Add to Quote Button,"The system engineering is based upon a well-known, proven, high-end system and enhanced to offer increased flexibility and 
electrical options. Offering compatibility with similar OEM systems, MWall is also a sensible value-based option to expand an 
existing office space for less.Fabric and glass panels in varying heights
4"" base raceway to meet electrical and data needs
Z-Panel brings electrical and data to worksurface height",AIS MWall Cubicle,,,,,,,,,111,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,AIS MWall Cubicle,0,simple,,
